Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
4,6.2226,1.8,4.82,78.335,0.0318,18.9675,0.1207,0.0831,FCC
2,5.4898,1.75,4.82,79.985,0.035,19.7925,0.1304,0.0878,FCC
4,5.8784,1.75,4.7875,79.9,0.0332,19.75,0.1277,0.087,FCC
4,10.5753,1.95,4.8775,71.415,0.0212,18.609,0.0819,0.0639,FCC
4,10.7888,1.95,4.845,71.33,0.0215,18.558,0.0814,0.0651,FCC
2,7.9345,1.9,4.91,73.15,0.0245,19.65,0.0977,0.0695,FCC
4,8.2335,1.9,4.8775,73.065,0.025,19.599,0.0975,0.0709,FCC
2,8.543,1.9,4.845,72.98,0.0249,19.548,0.0966,0.0717,FCC
4,8.8793,1.9,4.8125,72.895,0.0244,19.497,0.095,0.072,FCC
3,6.41,1.85,4.91,74.8,0.0286,20.64,0.1113,0.0761,FCC
1,6.772,1.85,4.8775,74.715,0.0287,20.589,0.1106,0.0771,FCC
4,7.124,1.85,4.845,74.63,0.0284,20.538,0.1094,0.0776,FCC
4,7.4834,1.85,4.8125,74.545,0.0275,20.487,0.1075,0.0777,FCC
2,5.3191,1.8,4.91,76.45,0.0326,21.63,0.1231,0.0821,FCC
4,5.728,1.8,4.8775,76.365,0.0325,21.579,0.1221,0.0828,FCC
1,6.1101,1.8,4.845,76.28,0.0318,21.528,0.1205,0.083,FCC
3,6.4867,1.8,4.8125,76.195,0.0307,21.477,0.1184,0.0828,FCC
4,4.4306,1.75,4.91,78.1,0.0367,22.62,0.1336,0.0875,FCC
2,4.8998,1.75,4.8775,78.015,0.0362,22.569,0.1323,0.088,FCC
2,5.3151,1.75,4.845,77.93,0.0353,22.518,0.1304,0.088,FCC
2,5.7111,1.75,4.8125,77.845,0.0339,22.467,0.128,0.0875,FCC
2,6.106,1.75,4.78,77.76,0.032,22.416,0.1249,0.0866,FCC
4,5.3439,1.65,4.7475,80.975,0.0368,24.345,0.1363,0.0928,FCC
3,10.9167,1.95,4.9025,69.36,0.0198,20.272,0.0801,0.0619,FCC
2,11.0948,1.95,4.87,69.275,0.0204,20.2125,0.08,0.0636,FCC
3,7.939,1.9,4.935,71.095,0.023,21.4865,0.0962,0.0675,FCC
2,8.2606,1.9,4.9025,71.01,0.0238,21.427,0.0962,0.0693,FCC
2,8.5727,1.9,4.87,70.925,0.0241,21.3675,0.0956,0.0706,FCC
3,8.8958,1.9,4.8375,70.84,0.024,21.308,0.0944,0.0714,FCC
4,6.6518,1.85,4.9025,72.66,0.0279,22.582,0.1097,0.0759,FCC
3,7.0227,1.85,4.87,72.575,0.0279,22.5225,0.1087,0.0769,FCC
4,7.3828,1.85,4.8375,72.49,0.0274,22.463,0.1072,0.0773,FCC
3,7.7475,1.85,4.805,72.405,0.0265,22.4035,0.105,0.0773,FCC
2,5.0256,1.8,4.935,74.395,0.0317,23.7965,0.1222,0.0808,FCC
2,5.5101,1.8,4.9025,74.31,0.0319,23.737,0.1214,0.0819,FCC
2,5.926,1.8,4.87,74.225,0.0316,23.6775,0.1201,0.0825,FCC
1,6.3135,1.8,4.8375,74.14,0.0309,23.618,0.1183,0.0827,FCC
4,6.6922,1.8,4.805,74.055,0.0296,23.5585,0.1158,0.0825,FCC
4,7.0714,1.8,4.7725,73.97,0.0279,23.499,0.1126,0.0817,FCC
3,4.5857,1.75,4.9025,75.96,0.0359,24.892,0.1319,0.0873,FCC
1,5.0616,1.75,4.87,75.875,0.0354,24.8325,0.1303,0.0877,FCC
2,5.4813,1.75,4.8375,75.79,0.0344,24.773,0.1281,0.0877,FCC
3,5.878,1.75,4.805,75.705,0.0328,24.7135,0.1253,0.0872,FCC
3,11.0853,1.95,4.96,67.39,0.0178,21.592,0.0773,0.0563,FCC
4,11.5522,1.95,4.8625,67.135,0.0196,21.388,0.0779,0.0634,FCC
3,7.8248,1.9,4.96,69.04,0.0212,22.912,0.0945,0.0649,FCC
1,8.1997,1.9,4.9275,68.955,0.0224,22.844,0.0948,0.0673,FCC
4,8.531,1.9,4.895,68.87,0.0231,22.776,0.0945,0.0691,FCC
2,5.9293,1.85,4.96,70.69,0.0258,24.232,0.1088,0.0724,FCC
3,6.4309,1.85,4.9275,70.605,0.0267,24.164,0.1087,0.0743,FCC
4,7.2186,1.85,4.8625,70.435,0.0271,24.028,0.1067,0.0766,FCC
