Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
1,1.9887,2,4.6625,51.57,0.0479,21.565,0.1835,0.3409,BCC+FCC
1,2.1198,1.9,4.67,51.51,0.0532,21.896,0.196,0.3432,BCC+FCC
1,2.0027,2.05,4.494,64.645,0.0431,28.4405,0.1717,0.3625,BCC+FCC
1,1.7216,2.15,4.544,57.235,0.043,25.1385,0.1714,0.3688,BCC+FCC
1,2.0293,2.05,4.5765,55.12,0.0484,25.066,0.1878,0.3738,BCC+FCC
1,1.6026,2.15,4.594,53.125,0.0448,23.1625,0.1754,0.3733,BCC+FCC
1,1.6712,2.1,4.594,54.775,0.0466,25.3075,0.1791,0.3735,BCC+FCC
1,1.9032,2.05,4.6015,53.065,0.0494,23.661,0.1894,0.3758,BCC+FCC
1,1.5268,2.15,4.619,51.07,0.0457,21.558,0.1771,0.3751,BCC+FCC
1,1.7253,2.1,4.6265,49.36,0.0482,19.37,0.1863,0.3771,BCC+FCC
4,59.8091,1.75,4.659,59.345,0.038,21.024,0.1851,0.1667,FCC
4,7.375,1.8,4.669,62.36,0.0367,23.826,0.1822,0.1683,FCC
1,2.807,1.5,4.564,66.52,0.0482,23.382,0.1742,0.1818,BCC+FCC
1,9.0185,1.65,4.524,73.43,0.0427,22.884,0.1757,0.1831,BCC+FCC
1,4.6316,1.55,4.5415,74.95,0.043,24.36,0.1752,0.1796,BCC+FCC
1,4.1419,1.6,4.574,67.885,0.0425,23.515,0.1668,0.1801,BCC+FCC
1,5.4358,1.6,4.5965,60.89,0.0475,21.027,0.1788,0.1893,BCC+FCC
1,3.7793,1.5,4.614,62.41,0.0479,23.263,0.1726,0.183,BCC+FCC
1,3.8837,1.45,4.614,64.06,0.0511,25.408,0.181,0.1851,BCC+FCC
1,4.829,1.55,4.6315,62.065,0.0459,23.5045,0.1694,0.1827,BCC+FCC
1,4.3414,1.5,4.639,60.355,0.0474,22.587,0.1717,0.1833,BCC+FCC
1,5.018,1.5,4.6315,63.715,0.0491,25.6495,0.1776,0.1848,BCC+FCC
1,4.4454,1.45,4.639,62.005,0.0509,24.897,0.1802,0.1855,BCC+FCC
1,10.4899,1.65,4.639,58.49,0.0456,20.406,0.1746,0.1896,BCC+FCC
1,2.9778,1.95,4.5965,58.595,0.046,19.3335,0.177,0.2034,BCC+FCC
1,14.5054,1.65,4.664,56.435,0.0457,19.1325,0.1741,0.1901,BCC+FCC
1,6.0347,1.8,4.624,63.345,0.0442,24.424,0.172,0.1945,BCC+FCC
2,14.7408,1.85,4.6665,57.86,0.0355,19.848,0.1526,0.1862,FCC
1,3.2787,1.9,4.6315,59.77,0.0448,21.811,0.1715,0.2,BCC+FCC
1,3.0413,1.9,4.6565,57.715,0.0457,20.871,0.1731,0.2018,BCC+FCC
1,9.2646,1.75,4.689,54.165,0.0474,17.534,0.1812,0.1984,BCC+FCC
1,4.7563,1.8,4.674,59.235,0.046,23.259,0.1743,0.1975,BCC+FCC
1,4.2656,1.7,4.5455,62.315,0.0437,20.5665,0.1678,0.2355,BCC+FCC
1,4.3855,1.55,4.553,63.905,0.0517,23.976,0.1868,0.2394,BCC+FCC
1,23.7509,1.75,4.5055,72.525,0.0435,23.97,0.1753,0.2352,BCC+FCC
1,8.4147,1.65,4.5305,70.685,0.0443,25.0965,0.1794,0.2354,BCC+FCC
1,16.0324,1.65,4.523,74.045,0.0444,25.446,0.1773,0.2337,BCC+FCC
1,9.1297,1.7,4.498,77.535,0.0425,24.9545,0.1699,0.2319,BCC+FCC
1,5.38,1.7,4.5705,60.26,0.044,20.292,0.1672,0.2363,BCC+FCC
1,4.8455,1.65,4.578,58.55,0.0463,19.365,0.1698,0.2372,BCC+FCC
1,26.0851,1.7,4.5455,65.4,0.0473,24.39,0.1877,0.2421,BCC+FCC
1,11.0542,1.7,4.5555,66.98,0.0415,24.42,0.1736,0.2361,BCC+FCC
1,7.6969,1.65,4.563,65.27,0.0455,24.507,0.1789,0.2377,BCC+FCC
1,7.4224,1.8,4.523,72.18,0.0417,24.384,0.1661,0.2347,BCC+FCC
1,15.3654,1.75,4.5305,70.47,0.0446,25.333,0.177,0.2378,BCC+FCC
1,3.2111,1.95,4.5205,65.375,0.0438,22.725,0.1702,0.2424,BCC+FCC
1,30.9312,1.8,4.563,63.405,0.0424,22.8855,0.1758,0.2408,BCC+FCC
1,9.5034,1.7,4.588,61.565,0.044,22.548,0.1714,0.2375,BCC+FCC
1,111.5285,1.7,4.5705,63.345,0.0482,24.424,0.1881,0.2437,BCC+FCC
1,16.5268,1.7,4.5805,64.925,0.0428,24.8175,0.1738,0.2374,BCC+FCC
1,7.0502,1.55,4.603,59.795,0.0522,22.923,0.1856,0.241,BCC+FCC
1,18.1739,1.65,4.5805,66.575,0.0461,26.6325,0.1804,0.2386,BCC+FCC
1,6.3863,1.9,4.5705,59.83,0.0433,20.636,0.1771,0.2453,BCC+FCC
1,4.6725,1.9,4.563,63.19,0.0437,23.079,0.1732,0.2436,BCC+FCC
1,17.6085,1.8,4.588,61.35,0.0431,22.72,0.1764,0.2423,BCC+FCC
1,13.4506,1.7,4.613,59.51,0.0446,21.993,0.171,0.2383,BCC+FCC
1,9.1794,1.8,4.5805,64.71,0.0441,25.011,0.1748,0.2413,BCC+FCC
1,104.9706,1.75,4.598,64.58,0.0409,25.128,0.1682,0.2371,BCC+FCC
1,11.0716,1.6,4.6205,59.45,0.0501,23.13,0.1822,0.2407,BCC+FCC
1,68.3549,1.7,4.598,66.23,0.0445,26.943,0.1745,0.2382,BCC+FCC
1,14.1947,1.7,4.5905,69.59,0.0446,28.41,0.1722,0.2373,BCC+FCC
1,4.0774,1.75,4.5655,73.08,0.0427,29.062,0.1643,0.2376,BCC+FCC
1,4.2851,1.9,4.588,61.135,0.0446,22.892,0.1747,0.2457,BCC+FCC
1,15.0882,1.65,4.6455,55.745,0.0467,19.4775,0.1736,0.2395,BCC+FCC
1,30.4796,1.75,4.623,62.525,0.0416,25.08,0.1686,0.2383,BCC+FCC
1,3.7726,1.85,4.5905,67.725,0.0419,26.975,0.1605,0.2392,BCC+FCC
1,5.2538,1.8,4.598,66.015,0.0448,27.1365,0.1718,0.2417,BCC+FCC
1,11.3548,1.75,4.6155,65.885,0.0429,27.2535,0.1678,0.2379,BCC+FCC
1,25.9488,1.7,4.623,64.175,0.0454,27.06,0.1751,0.2395,BCC+FCC
1,31.8445,1.6,4.638,60.755,0.0512,25.647,0.1856,0.242,BCC+FCC
1,10.2926,1.65,4.6155,69.185,0.0479,30.8835,0.1785,0.2399,BCC+FCC
1,3.0372,1.95,4.6055,60.79,0.043,23.168,0.1661,0.2453,BCC+FCC
1,23.5301,1.6,4.678,51.98,0.047,15.456,0.1747,0.24,BCC+FCC
1,4.7538,1.85,4.623,62.31,0.0434,25.252,0.1684,0.2426,BCC+FCC
1,13.1743,1.7,4.6455,57.18,0.0509,22.06,0.1889,0.2472,BCC+FCC
1,118.3125,1.65,4.663,57.05,0.0484,22.125,0.178,0.241,BCC+FCC
1,3.5265,1.85,4.6155,65.67,0.0429,27.447,0.1627,0.2413,BCC+FCC
1,6.3813,1.75,4.6305,62.25,0.0486,26.675,0.1821,0.2455,BCC+FCC
1,4.6434,1.75,4.623,65.61,0.0476,29.212,0.1777,0.2444,BCC+FCC
1,14.3712,1.65,4.648,63.77,0.0496,28.911,0.1817,0.2419,BCC+FCC
1,5.5454,1.7,4.633,68.84,0.0458,31.194,0.1704,0.2395,BCC+FCC
4,5.6582,1.95,4.658,58.535,0.0313,21.672,0.1414,0.235,FCC
1,27.3372,1.75,4.6805,55.055,0.0431,19.8225,0.1661,0.2391,BCC+FCC
1,84.1832,1.7,4.688,53.345,0.0447,17.862,0.1695,0.2396,BCC+FCC
1,3.6004,1.85,4.638,58.675,0.0488,23.595,0.1821,0.25,BCC+FCC
1,7.98,1.8,4.6655,60.125,0.041,24.8625,0.163,0.2389,BCC+FCC
1,7.2744,1.75,4.663,56.835,0.0493,22.2325,0.1838,0.2469,BCC+FCC
1,11.2543,1.7,4.673,60.065,0.0472,26.061,0.1759,0.2415,BCC+FCC
1,18.0496,1.65,4.6805,58.355,0.05,24.7725,0.181,0.2424,BCC+FCC
1,5.079,1.75,4.658,65.135,0.0449,29.592,0.167,0.24,BCC+FCC
1,7.061,1.7,4.6655,63.425,0.0477,29.1525,0.1754,0.2416,BCC+FCC
1,4.5567,1.85,4.678,49.9,0.0486,12.78,0.1855,0.2517,BCC+FCC
1,2.668,1.95,4.6555,56.68,0.0448,21.492,0.1695,0.2487,BCC+FCC
1,4.9888,1.85,4.6805,54.84,0.0441,19.93,0.1718,0.2453,BCC+FCC
1,7.4196,1.75,4.6955,51.42,0.0489,15.624,0.182,0.2469,BCC+FCC
1,3.0234,1.85,4.6655,61.56,0.045,27.158,0.1664,0.2448,BCC+FCC
1,3.7738,1.8,4.673,59.85,0.0478,26.19,0.176,0.2465,BCC+FCC
1,5.8079,1.7,4.6905,61.37,0.0487,28.578,0.1761,0.2426,BCC+FCC
1,2.7953,1.75,4.6655,64.86,0.0478,31.448,0.1745,0.2466,BCC+FCC
1,28.5333,1.8,4.5195,64.77,0.0421,23.33,0.1776,0.2813,BCC+FCC
1,8.1566,1.85,4.4945,68.26,0.0447,24.464,0.1791,0.2809,BCC+FCC
1,32.1912,1.75,4.5195,66.42,0.0455,24.98,0.1836,0.2819,BCC+FCC
1,14.2884,1.7,4.527,64.71,0.048,25.011,0.1896,0.284,BCC+FCC
1,14.7809,1.65,4.527,66.36,0.0513,26.826,0.1956,0.2847,BCC+FCC
1,12.842,1.7,4.5045,74.79,0.0454,27.852,0.1794,0.2775,BCC+FCC
1,4.7071,1.9,4.512,67.915,0.0428,24.8435,0.17,0.2804,BCC+FCC
1,9.6248,1.8,4.5295,69.435,0.0437,26.4715,0.1735,0.2796,BCC+FCC
1,20.8524,1.75,4.537,67.725,0.0466,26.975,0.1825,0.2821,BCC+FCC
1,276.7737,1.7,4.5445,66.015,0.0495,27.1365,0.1899,0.2843,BCC+FCC
1,9.8407,1.65,4.5295,74.385,0.0473,30.9265,0.1848,0.2803,BCC+FCC
1,5.8618,1.9,4.5445,62.5,0.0444,23.7,0.1777,0.2852,BCC+FCC
1,7.9232,1.85,4.5545,65.73,0.0423,25.67,0.17,0.2812,BCC+FCC
1,13.6888,1.8,4.562,64.02,0.0448,25.632,0.178,0.2833,BCC+FCC
1,13.398,1.75,4.562,65.67,0.0476,27.447,0.1835,0.284,BCC+FCC
1,29.2388,1.7,4.5695,63.96,0.0505,27.232,0.1905,0.286,BCC+FCC
1,5.2382,1.7,4.547,74.04,0.0447,31.306,0.1747,0.2799,BCC+FCC
1,4.0174,1.9,4.562,63.805,0.0449,25.8255,0.174,0.2853,BCC+FCC
1,5.2739,1.85,4.5695,62.095,0.0478,25.424,0.1837,0.2877,BCC+FCC
1,57.0655,1.65,4.6095,56.835,0.0543,22.2325,0.194,0.2889,BCC+FCC
1,4.075,1.85,4.562,65.455,0.0464,27.6405,0.1778,0.2856,BCC+FCC
1,4.0316,1.7,4.562,70.405,0.0473,33.0855,0.1861,0.2862,BCC+FCC
1,5.7923,1.85,4.602,56.68,0.0487,21.492,0.1871,0.2906,BCC+FCC
1,11.5677,1.8,4.6195,56.55,0.0461,21.57,0.1785,0.2864,BCC+FCC
1,20.0549,1.7,4.6345,53.13,0.0514,17.948,0.1862,0.2883,BCC+FCC
1,3.6993,1.9,4.587,61.75,0.0459,25.7,0.1757,0.2873,BCC+FCC
1,4.6571,1.85,4.5945,60.04,0.0488,24.922,0.1849,0.2895,BCC+FCC
1,10.9914,1.75,4.6195,58.2,0.0491,23.88,0.1852,0.2875,BCC+FCC
1,7.75,1.75,4.612,61.56,0.0497,27.158,0.1852,0.2871,BCC+FCC
1,10.4195,1.7,4.6195,59.85,0.0525,26.19,0.1914,0.2886,BCC+FCC
1,2.929,1.8,4.5795,68.41,0.0451,31.581,0.173,0.2856,BCC+FCC
1,4.2,1.75,4.597,68.28,0.0469,31.698,0.1764,0.2844,BCC+FCC
1,2.7615,1.7,4.5795,71.71,0.0435,35.211,0.1758,0.2857,BCC+FCC
1,6.7426,1.85,4.637,56.205,0.0438,21.777,0.1734,0.2862,BCC+FCC
1,10.3322,1.75,4.652,52.785,0.0495,18.086,0.1826,0.2881,BCC+FCC
1,11.1338,1.7,4.6595,51.075,0.0513,15.7275,0.1857,0.2887,BCC+FCC
1,2.4884,1.95,4.5945,59.825,0.0472,25.0725,0.1773,0.2913,BCC+FCC
1,3.3956,1.9,4.612,59.695,0.0469,25.1635,0.1773,0.2892,BCC+FCC
1,6.5379,1.8,4.637,57.855,0.0475,24.087,0.1798,0.2873,BCC+FCC
1,3.3821,1.85,4.612,61.345,0.0487,27.3085,0.1815,0.2898,BCC+FCC
1,7.6285,1.7,4.6445,57.795,0.0536,25.0525,0.1917,0.2896,BCC+FCC
1,3.5526,1.7,4.622,67.875,0.0489,34,0.1819,0.2869,BCC+FCC
1,2.2902,2,4.6195,56.12,0.0471,21.828,0.176,0.2929,BCC+FCC
1,2.5406,2,4.6295,57.7,0.043,23.26,0.1643,0.2881,BCC+FCC
1,3.6829,1.9,4.6445,54.28,0.048,20.21,0.1816,0.2915,BCC+FCC
1,6.6941,1.8,4.6695,52.44,0.0477,18.224,0.1784,0.2879,BCC+FCC
1,7.3872,1.75,4.677,50.73,0.0497,15.831,0.1822,0.2885,BCC+FCC
1,3.6313,1.9,4.647,59.22,0.0434,25.496,0.1659,0.2855,BCC+FCC
1,2.5556,1.9,4.6295,61,0.0466,27.55,0.1725,0.2894,BCC+FCC
1,2.857,1.9,4.6395,62.58,0.0431,28.336,0.161,0.2846,BCC+FCC
1,4.9272,1.9,4.687,50.445,0.0424,15.722,0.1664,0.2863,BCC+FCC
1,5.6264,1.85,4.6945,48.735,0.0443,13.246,0.1705,0.2869,BCC+FCC
1,5.9565,1.8,4.702,47.025,0.0455,10.6475,0.1737,0.2873,BCC+FCC
1,3.353,1.95,4.672,55.515,0.041,22.191,0.161,0.2856,BCC+FCC
1,3.1739,1.85,4.6695,53.875,0.0518,20.95,0.1879,0.2937,BCC+FCC
1,3.9398,1.85,4.6795,55.455,0.0468,22.9225,0.1744,0.2879,BCC+FCC
1,4.5224,1.8,4.687,53.745,0.0493,21.002,0.1805,0.2889,BCC+FCC
1,2.71,1.85,4.662,57.235,0.051,25.3325,0.1846,0.293,BCC+FCC
1,3.2289,2,4.526,61.595,0.045,24.5145,0.1758,0.3236,BCC+FCC
1,6.5015,1.85,4.551,61.405,0.0488,25.976,0.1874,0.3253,BCC+FCC
1,4.4073,1.85,4.5685,62.71,0.0489,28.232,0.1848,0.3253,BCC+FCC
1,2.3325,2.05,4.5685,59.195,0.0442,24.444,0.1684,0.3256,BCC+FCC
1,3.9149,1.95,4.5935,57.355,0.0454,23.5015,0.1763,0.326,BCC+FCC
1,5.4483,1.85,4.6085,53.935,0.0504,20.3825,0.1894,0.3292,BCC+FCC
1,3.9036,1.85,4.5935,60.655,0.05,27.7915,0.1862,0.3272,BCC+FCC
1,2.2118,2.05,4.5935,57.14,0.0452,23.652,0.1706,0.3277,BCC+FCC
1,2.4523,2,4.6035,60.37,0.0433,26.804,0.1631,0.3242,BCC+FCC
1,2.977,1.95,4.611,58.66,0.0461,25.888,0.1738,0.3263,BCC+FCC
1,2.3728,1.85,4.6035,65.32,0.0459,32.744,0.1727,0.3251,BCC+FCC
1,2.2688,1.8,4.6035,66.97,0.0456,34.724,0.1748,0.3252,BCC+FCC
1,3.1736,1.95,4.6435,53.245,0.0472,20.7275,0.178,0.3287,BCC+FCC
1,3.5471,1.9,4.651,51.535,0.0497,18.586,0.1845,0.33,BCC+FCC
1,3.7636,1.85,4.6585,49.825,0.0523,16.11,0.1897,0.3311,BCC+FCC
1,2.3018,2,4.6285,58.315,0.0443,26.1295,0.1651,0.326,BCC+FCC
1,2.6754,1.9,4.636,58.255,0.0491,27.147,0.1798,0.3285,BCC+FCC
1,1.9402,2.05,4.6435,53.03,0.0473,20.835,0.1744,0.3314,BCC+FCC
1,2.8332,1.95,4.6685,51.19,0.0481,18.724,0.1787,0.3297,BCC+FCC
1,4.5558,1.9,4.4825,66.26,0.0473,28.44,0.1865,0.3554,BCC+FCC
1,2.486,1.95,4.5175,67.22,0.0425,30.78,0.1666,0.354,BCC+FCC
1,1.988,2.05,4.65,50.285,0.0493,19.086,0.1805,0.3676,BCC+FCC
1,3.9848,1.55,4.4865,69.11,0.046,22.129,0.1646,0.1748,BCC+FCC
1,2.7653,1.55,4.5465,69.635,0.0427,22.6015,0.1563,0.1723,BCC+FCC
1,4.0191,1.5,4.4865,70.76,0.0483,23.614,0.1724,0.1766,BCC+FCC
1,3.7201,1.45,4.494,69.05,0.0517,24.25,0.1763,0.1781,BCC+FCC
1,3.3616,1.45,4.514,69.225,0.0505,24.425,0.1737,0.1772,BCC+FCC
1,2.9633,1.45,4.5465,72.935,0.0473,25.5715,0.1727,0.176,BCC+FCC
1,4.4934,1.5,4.5115,77.83,0.0436,23.871,0.1703,0.1741,BCC+FCC
1,3.7614,1.45,4.519,76.12,0.0468,25.556,0.1769,0.1764,BCC+FCC
1,4.1286,1.4,4.479,77.42,0.051,26.596,0.1862,0.1788,BCC+FCC
1,4.7207,1.4,4.4715,80.78,0.0477,27.048,0.1835,0.1771,BCC+FCC
1,4.5982,1.4,4.4915,80.955,0.0479,26.945,0.1825,0.1768,BCC+FCC
1,4.6991,1.6,4.5115,65.405,0.044,21.295,0.1557,0.1739,BCC+FCC
1,4.232,1.55,4.5315,67.23,0.0454,23.12,0.1615,0.175,BCC+FCC
1,4.5307,1.5,4.519,65.345,0.0492,23.0395,0.1676,0.177,BCC+FCC
1,6.4975,1.5,4.4965,75.425,0.0465,25.69,0.1741,0.1771,BCC+FCC
1,5.5088,1.5,4.544,63.29,0.0491,23.068,0.1668,0.1775,BCC+FCC
1,3.9729,1.5,4.584,63.64,0.046,23.488,0.1607,0.1754,BCC+FCC
1,3.5125,1.4,4.604,67.115,0.0509,27.658,0.1751,0.1788,BCC+FCC
1,6.4207,1.5,4.5615,73.72,0.0459,27.658,0.1715,0.1776,BCC+FCC
1,5.1418,1.45,4.569,72.01,0.0494,28.59,0.1774,0.1793,BCC+FCC
1,3.9158,1.4,4.629,65.06,0.0506,27.658,0.1744,0.1791,BCC+FCC
1,5.2016,1.45,4.614,70.13,0.0491,29.683,0.1753,0.1795,BCC+FCC
1,14.0849,1.5,4.559,74.85,0.0468,29.365,0.1724,0.1793,BCC+FCC
1,11.9634,1.55,4.5915,67.785,0.0467,27.7935,0.1674,0.1791,BCC+FCC
1,9.5309,1.5,4.6115,69.61,0.0482,29.801,0.1723,0.1801,BCC+FCC
4,14.2857,1.85,4.6415,62.9,0.0276,21.55,0.116,0.1675,FCC
4,8.9488,1.95,4.6315,64.09,0.0226,21.751,0.1025,0.1671,FCC
1,83.6199,1.9,4.659,62.555,0.025,21.895,0.1087,0.1672,FCC
4,18.952,1.85,4.6665,60.845,0.0278,21.5395,0.1157,0.1679,FCC
3,9.4919,1.9,4.6515,65.915,0.0238,23.3935,0.1097,0.1682,FCC
2,9.376,1.95,4.6765,62.21,0.0225,22.24,0.1002,0.1669,FCC
2,38.6208,1.9,4.684,60.5,0.0255,21.85,0.1088,0.1676,FCC
3,27.36,1.85,4.6915,58.79,0.0278,21.118,0.1153,0.1681,FCC
1,3.6988,1.7,4.5355,63.72,0.0412,20.73,0.1526,0.229,BCC+FCC
1,4.9792,1.65,4.528,68.73,0.042,23.597,0.1654,0.2304,BCC+FCC
1,4.3101,1.6,4.5355,67.02,0.0458,24.03,0.1697,0.2319,BCC+FCC
1,7.6531,1.6,4.488,70.03,0.0462,24.767,0.1767,0.2325,BCC+FCC
1,5.3675,1.55,4.528,72.03,0.0464,26.567,0.1794,0.2327,BCC+FCC
1,4.0846,1.45,4.543,68.61,0.0541,27.751,0.1885,0.2359,BCC+FCC
1,5.7894,1.7,4.553,65.025,0.0407,22.725,0.1572,0.2302,BCC+FCC
1,4.9981,1.65,4.5605,63.315,0.0437,22.6165,0.1609,0.2313,BCC+FCC
1,7.9721,1.6,4.528,61.255,0.0488,21.746,0.1697,0.2337,BCC+FCC
1,6.2453,1.65,4.553,66.675,0.043,24.375,0.1653,0.2316,BCC+FCC
1,6.1723,1.55,4.548,63.08,0.0503,23.936,0.1752,0.2345,BCC+FCC
1,4.9889,1.5,4.568,64.905,0.0518,26.126,0.1805,0.2353,BCC+FCC
1,5.0043,1.45,4.568,66.555,0.0547,28.106,0.1881,0.2368,BCC+FCC
1,7.2843,1.7,4.578,62.97,0.0412,22.927,0.1568,0.231,BCC+FCC
1,10.8205,1.7,4.5705,66.33,0.0403,24.72,0.1602,0.2313,BCC+FCC
1,13.3467,1.6,4.5455,62.56,0.0494,24.002,0.1741,0.235,BCC+FCC
1,8.9921,1.6,4.5655,62.735,0.048,24.212,0.1715,0.2343,BCC+FCC
1,8.1922,1.55,4.573,61.025,0.0503,23.5325,0.1745,0.2351,BCC+FCC
1,6.0167,1.55,4.593,61.2,0.0487,23.76,0.1716,0.2343,BCC+FCC
1,11.8041,1.65,4.5705,67.98,0.0426,26.37,0.1675,0.2326,BCC+FCC
1,8.4398,1.6,4.578,66.27,0.0464,26.557,0.1727,0.234,BCC+FCC
1,9.2813,1.55,4.5655,64.385,0.0509,26.192,0.1792,0.2358,BCC+FCC
1,6.9476,1.55,4.5855,64.56,0.0495,26.402,0.1768,0.2351,BCC+FCC
1,6.1944,1.5,4.593,62.85,0.0519,25.905,0.1799,0.236,BCC+FCC
1,27.2537,1.65,4.563,71.34,0.0427,27.326,0.1672,0.232,BCC+FCC
1,12.9988,1.55,4.5705,71.28,0.0486,29.67,0.1803,0.2349,BCC+FCC
1,374.0992,1.55,4.523,74.29,0.0474,29.981,0.1802,0.2344,BCC+FCC
1,17.9869,1.5,4.5505,72.755,0.0515,31.145,0.1874,0.2363,BCC+FCC
1,11.9453,1.65,4.5905,59.03,0.045,21.629,0.1625,0.2332,BCC+FCC
1,11.1053,1.6,4.598,57.32,0.0465,20.408,0.1649,0.2337,BCC+FCC
1,7.6859,1.55,4.618,59.145,0.0483,22.963,0.1707,0.2346,BCC+FCC
1,58.5529,1.7,4.588,67.635,0.0404,26.715,0.1615,0.2322,BCC+FCC
1,544.6791,1.65,4.5555,65.575,0.0464,26.4825,0.1717,0.2348,BCC+FCC
1,11.352,1.6,4.603,64.215,0.0472,26.678,0.1725,0.2348,BCC+FCC
1,7.9179,1.5,4.618,60.795,0.0517,25.273,0.1792,0.2364,BCC+FCC
1,26.807,1.7,4.608,58.685,0.0429,21.8705,0.1587,0.233,BCC+FCC
1,11.6647,1.6,4.6355,58.8,0.0464,23.17,0.1675,0.2344,BCC+FCC
1,16.9044,1.6,4.628,62.16,0.0478,26.388,0.1723,0.2355,BCC+FCC
1,12.5401,1.55,4.6355,60.45,0.0499,25.48,0.1758,0.2362,BCC+FCC
1,27.2197,1.65,4.593,67.055,0.046,28.8005,0.1703,0.2352,BCC+FCC
1,75.3512,1.65,4.613,67.23,0.0448,28.993,0.1686,0.2347,BCC+FCC
1,40.8684,1.6,4.6205,65.52,0.0478,28.934,0.1748,0.236,BCC+FCC
1,9.5755,1.65,4.5655,70.24,0.0451,30.01,0.1689,0.235,BCC+FCC
1,11.9493,1.65,4.5855,70.415,0.0449,30.185,0.1679,0.2346,BCC+FCC
1,42.0359,1.55,4.613,70.53,0.05,32.623,0.1804,0.2371,BCC+FCC
1,26.0129,1.65,4.653,58.455,0.0446,23.377,0.1638,0.2342,BCC+FCC
1,237.8637,1.65,4.6455,61.815,0.0457,26.6295,0.1677,0.2352,BCC+FCC
1,9.6071,1.7,4.6105,66.71,0.044,29.111,0.1634,0.2349,BCC+FCC
1,299.0757,1.6,4.6455,63.465,0.0489,28.7745,0.1749,0.2368,BCC+FCC
1,6.1853,1.7,4.603,70.07,0.0426,30.53,0.1594,0.2343,BCC+FCC
1,21.5539,1.6,4.638,66.825,0.0488,31.19,0.1754,0.2371,BCC+FCC
1,6.4347,1.65,4.623,71.895,0.0441,32.355,0.1634,0.2349,BCC+FCC
1,104.7422,1.65,4.678,56.4,0.0444,22.1,0.1632,0.2344,BCC+FCC
1,11.944,1.7,4.5045,62.58,0.0477,22.928,0.1769,0.2801,BCC+FCC
1,7.7806,1.7,4.5245,62.755,0.0466,23.1205,0.1745,0.2796,BCC+FCC
1,16.9311,1.75,4.5095,67.825,0.0415,24.5925,0.1712,0.2772,BCC+FCC
1,10.5124,1.7,4.517,66.115,0.0447,24.935,0.1771,0.2791,BCC+FCC
1,11.2406,1.6,4.517,69.415,0.0506,28.235,0.1897,0.2807,BCC+FCC
1,25.9382,1.5,4.4895,75.9,0.0511,31.86,0.1978,0.2799,BCC+FCC
1,21.6055,1.65,4.537,58.815,0.0513,21.7795,0.1799,0.2822,BCC+FCC
1,47.7022,1.7,4.5345,67.42,0.0457,26.93,0.178,0.2796,BCC+FCC
1,81.5913,1.65,4.502,65.36,0.0513,26.676,0.1875,0.282,BCC+FCC
1,11.4362,1.55,4.557,62.29,0.0557,26.297,0.1925,0.2841,BCC+FCC
1,43.4507,1.7,4.527,70.78,0.0453,27.942,0.1761,0.2782,BCC+FCC
1,18.7673,1.65,4.582,56.935,0.0498,20.989,0.1764,0.2823,BCC+FCC
1,61.6831,1.65,4.547,63.48,0.0512,26.916,0.186,0.283,BCC+FCC
1,13.6751,1.7,4.532,68.55,0.0469,28.75,0.1783,0.2802,BCC+FCC
1,19.5524,1.7,4.552,68.725,0.0464,28.925,0.1772,0.28,BCC+FCC
1,13.3642,1.65,4.532,70.2,0.0484,30.4,0.1832,0.2808,BCC+FCC
1,18.6855,1.65,4.552,70.375,0.0484,30.575,0.1822,0.2806,BCC+FCC
1,28.2042,1.75,4.5845,61.66,0.0447,25.422,0.1722,0.2812,BCC+FCC
1,305.9742,1.65,4.5995,58.24,0.0509,23.506,0.181,0.2834,BCC+FCC
1,7.0022,1.75,4.5495,68.205,0.0446,29.095,0.1706,0.2798,BCC+FCC
1,12.6146,1.7,4.577,66.67,0.0476,29.497,0.1781,0.2816,BCC+FCC
1,5.0738,1.75,4.542,71.565,0.042,30.0285,0.1639,0.2779,BCC+FCC
1,9.2072,1.65,4.557,68.145,0.0498,31.1195,0.1844,0.2826,BCC+FCC
1,9.9866,1.75,4.5895,59.43,0.0473,24.649,0.1745,0.2827,BCC+FCC
1,6.9038,1.8,4.5945,64.675,0.0431,27.9925,0.1655,0.2804,BCC+FCC
1,7.2546,1.7,4.582,64.44,0.0494,29.448,0.1803,0.2833,BCC+FCC
1,4.4236,1.75,4.567,69.51,0.0434,31.09,0.166,0.28,BCC+FCC
1,4.4873,1.85,4.612,64.33,0.0412,28.303,0.1576,0.2801,BCC+FCC
1,4.0128,1.8,4.592,65.805,0.0436,29.9255,0.1637,0.2812,BCC+FCC
1,4.3572,1.8,4.612,65.98,0.0434,30.118,0.1628,0.2809,BCC+FCC
1,4.1867,1.75,4.612,67.63,0.0451,31.933,0.1675,0.2817,BCC+FCC
1,5.2502,1.7,4.6195,65.92,0.0486,31.914,0.1772,0.2835,BCC+FCC
1,8.3117,1.8,4.6595,53.845,0.0439,20.0775,0.1646,0.2821,BCC+FCC
1,6.4671,1.8,4.652,57.205,0.0447,24.127,0.1672,0.2827,BCC+FCC
1,6.005,1.75,4.652,58.855,0.048,26.437,0.174,0.2839,BCC+FCC
1,2.9764,1.8,4.6295,67.285,0.0428,32.2435,0.1579,0.2813,BCC+FCC
1,4.5221,1.85,4.6695,56.86,0.0427,24.334,0.1614,0.2824,BCC+FCC
