Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Phase,Pm,ΔH,ΔS,Ω,δ-r,VEC,n,e/n,Tm,ρ,r,χ,m,e/a,Ec,EWF,ABE,SHA,SLHF,α,HD,YM,B,G,υ,G/B,ad-VEC,ad-n,ad-e/n,ad-Tm,ad-ρ,ad-r,ad-χ,ad-m,ad-e/a,ad-Ec,ad-EWF,ad-ABE,ad-SHA,ad-SLHF,ad-α,ad-HD,ad-YM,ad-B,ad-G,ad-υ,ad-G/B,δ-VEC,δ-n,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-m,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SHA,δ-SLHF,δ-α,δ-HD,δ-YM,δ-B,δ-G,δ-υ,δ-G/B
28.5714,14.2857,14.2857,0.0,14.2857,14.2857,0.0,14.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,-21.8715,14.5318,1.072,0.0728,6.1429,21.8571,0.2702,1613.427,6.1029,133.0299,1.72,46.7568,2.1429,4.12,4.5771,50.5571,5.9171,1.9157,14.6428,92.5713,164.9998,140.6284,57.3285,0.3267,0.4,2.449,5.0612,0.0536,388.8166,2.4024,9.5428,0.1314,11.2999,0.4898,0.4229,0.2845,11.449,2.5547,0.5563,5.1184,62.2448,68.2857,42.1102,30.6326,0.0503,0.1314,0.4388,0.2695,0.2179,0.2802,0.4175,0.0804,0.2782,0.2981,0.1231,0.0718,0.2454,0.4784,0.3384,0.4179,0.8457,0.4508,0.3242,0.5728,0.1938,0.417
7.695857852,11.53801777,11.53801777,11.53801777,11.53801777,11.53801777,0.0,11.53801777,0.0,0.0,0.0,11.53801777,11.53801777,0.0,0.0,IM,3,-10.8906,18.2136,2.9157,0.0589,7.1537,24.538,0.2839,1743.4304,7.1133,130.9293,1.7277,53.1622,1.8462,4.1584,4.5442,52.6454,6.6175,2.0746,13.585,152.187,175.1113,149.705,62.0257,0.3209,0.415,2.1657,2.8406,0.0558,269.0315,1.5115,6.4905,0.1406,6.033,0.3905,0.5718,0.2694,9.3857,1.6626,0.3396,4.1825,103.5251,51.1003,27.3394,25.1753,0.0553,0.1454,0.3504,0.1627,0.225,0.2011,0.2662,0.085,0.1658,0.2887,0.17,0.0724,0.1987,0.3093,0.2217,0.3871,0.9316,0.3331,0.2197,0.4545,0.202,0.413
0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,-2.8904,13.381,10.3533,0.0379,7.8,35.8,0.2658,2236.4,10.446,127.084,1.928,81.8614,1.8,5.222,4.74,66.3,9.198,2.666,9.92,173.6,262.0,203.52,95.32,0.2982,0.474,1.44,15.28,0.0803,583.44,3.5856,3.8464,0.1728,40.7914,0.32,1.4712,0.268,9.16,1.6728,0.5072,3.656,86.32,66.4,41.672,32.344,0.045,0.1192,0.2051,0.5348,0.3729,0.334,0.4334,0.1207,0.6236,0.2222,0.3529,0.0587,0.1813,0.2354,0.2318,0.3858,0.5419,0.3041,0.2651,0.407,0.2097,0.3501
0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,BCC,3,-2.42,11.5256,11.6328,0.0407,5.0,32.0,0.166,2442.5,7.3575,139.2275,1.7325,71.9163,1.5,6.1375,4.3825,60.75,7.2675,2.3025,7.725,127.75,169.5,177.75,59.5,0.3625,0.3075,0.5,9.5,0.0336,380.5,2.0475,5.2975,0.2137,22.5118,0.5,1.0575,0.1088,8.275,1.1475,0.4275,1.525,57.75,79.75,43.625,32.1,0.0355,0.0875,0.1414,0.2973,0.2205,0.1611,0.2997,0.1437,0.3137,0.3333,0.1796,0.0288,0.165,0.1945,0.2135,0.2381,0.5178,0.5454,0.3067,0.6434,0.1142,0.3359
0.0,20.6186,20.6186,0.0,20.6186,20.6186,17.5258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,-4.3738,13.3643,6.2677,0.0348,7.8557,29.0104,0.2824,2051.2618,8.5599,126.7097,1.8796,63.3041,1.6186,4.7437,4.7546,62.2269,8.3308,2.5037,10.1928,155.3611,243.0211,192.8148,87.5765,0.3015,0.4659,1.4157,4.5531,0.0622,349.1864,0.8453,3.3478,0.111,11.443,0.4719,0.7278,0.2642,4.5169,0.6275,0.3618,3.4316,66.426,44.9742,28.1005,23.7646,0.0437,0.1162,0.2027,0.2115,0.2613,0.206,0.1176,0.0831,0.2411,0.3001,0.2033,0.0578,0.083,0.0827,0.1576,0.3543,0.4779,0.2013,0.1877,0.3326,0.2089,0.3596
0.0,0.0,0.0,0.0,0.0,0.0,9.090909091,18.18181818,0.0,18.18181818,18.18181818,0.0,0.0,18.18181818,18.18181818,BCC,3,0.5667,14.6974,66.3136,0.0548,4.5455,48.9091,0.109,2556.9091,9.9391,148.76,1.5182,116.2567,1.7273,6.6582,4.2055,55.7818,6.2264,2.0,7.0273,123.2727,130.4545,153.1818,44.4091,0.3795,0.2645,0.595,17.157,0.0374,398.4463,3.719,7.4473,0.1544,46.1551,0.3967,0.8853,0.1676,12.5256,1.5451,0.4473,1.2529,47.2066,56.2975,41.3983,23.395,0.0295,0.0721,0.1442,0.3902,0.4032,0.1825,0.4287,0.1529,0.4357,0.2578,0.1621,0.0477,0.2271,0.2746,0.2488,0.2295,0.4279,0.569,0.3103,0.6826,0.0959,0.3386
10.01050053,0.0,12.00560028,0.0,35.00175009,19.9859993,0.0,0.0,0.0,0.0,0.0,0.0,22.99614981,0.0,0.0,FCC,4,-7.6855,12.572,2.7542,0.0507,7.4291,24.6283,0.2966,1683.6713,7.3902,128.7178,1.7392,52.8542,1.98,3.8885,4.5159,52.2481,7.2897,2.1919,14.8853,192.7809,199.861,150.7606,79.7613,0.2763,0.5298,1.4273,2.479,0.032,226.028,0.9871,5.7828,0.1319,5.3859,0.2353,0.5453,0.2535,10.2665,1.4117,0.3284,4.879,141.2971,26.8554,26.6149,10.9329,0.0326,0.0918,0.2584,0.1652,0.132,0.1862,0.2246,0.08,0.1671,0.2368,0.1544,0.0785,0.2178,0.2808,0.2161,0.3751,0.8991,0.2494,0.2096,0.2523,0.1357,0.1983
0.0,0.0,0.0,0.0,0.0,0.0,8.3333333,27.7777778,0.0,27.7777778,0.0,8.3333333,0.0,0.0,27.7777778,BCC,3,-0.2376,12.3178,120.1409,0.0619,4.5278,34.0278,0.1422,2317.4167,6.8042,147.1272,1.5575,76.6846,1.6389,6.1969,4.2639,53.9389,5.8969,1.9492,7.5889,111.4722,118.3611,146.7028,37.8,0.3917,0.2353,0.5864,8.5201,0.0347,336.7546,1.5575,7.2904,0.1361,20.3002,0.4614,0.8961,0.1188,11.321,1.4577,0.4935,1.5691,46.0802,36.713,36.0586,18.1667,0.0225,0.0559,0.1424,0.2612,0.2737,0.156,0.2707,0.1372,0.2762,0.2931,0.1713,0.0362,0.2138,0.2778,0.2757,0.2417,0.4633,0.5643,0.3013,0.7391,0.0842,0.3485
28.5714,0.0,14.2857,0.0,14.2857,14.2857,28.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC,1,-10.3677,12.8852,2.375,0.0597,6.0,26.8571,0.2375,1910.9981,7.12,133.2113,1.8486,58.9139,1.8571,4.7486,4.5586,55.1428,6.6643,2.2543,12.6714,113.5713,212.5712,171.2713,83.5713,0.296,0.4771,1.7143,8.9796,0.0578,639.7134,2.5257,7.4327,0.1955,21.1634,0.7347,1.1837,0.1927,12.351,2.7853,0.6922,6.4245,76.9387,85.5101,57.2816,31.7673,0.0263,0.0731,0.3883,0.411,0.3077,0.394,0.4187,0.1205,0.4463,0.4485,0.2871,0.0595,0.2631,0.4712,0.3488,0.594,0.75,0.4782,0.4118,0.4544,0.1321,0.2281
8.196721311,16.39344262,16.39344262,16.39344262,16.39344262,16.39344262,0.0,9.836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC,3,-7.9257,15.9242,3.4506,0.0591,7.8525,25.1967,0.3036,1717.3934,7.5098,128.8189,1.7884,54.299,1.7541,4.1484,4.6784,54.6508,6.6661,2.14,13.0689,106.8033,185.8361,156.8508,64.8328,0.3224,0.4107,2.1607,3.0207,0.0535,246.423,1.4855,5.7621,0.1202,6.4986,0.4945,0.356,0.2601,7.7694,1.9494,0.4066,3.2325,62.0962,51.0347,27.0481,27.771,0.0535,0.1403,0.326,0.1671,0.2062,0.1962,0.2587,0.074,0.172,0.337,0.106,0.0637,0.1723,0.3357,0.2361,0.3435,0.6993,0.329,0.217,0.4697,0.2013,0.4187
