Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
2,-4.3759,12.0052,5.4058,8.0877,1.5769,4.725,10.0616,133.4618,177.3464,88.2385,0.0451,0.8532,3.3521,59.7634,22.929,0.2078,0.1777,0.138,0.1059,0.0707,0.3133,0.1173,0.0595,0.0787,0.1507,0.3438,0.5184,0.3139,0.249,0.3703,IM
2,-12.0346,8.267,0.8252,4.2729,2.6429,4.425,20.0786,50.5717,107.3503,43.6859,0.0337,7.5469,5.0306,50.8166,21.1634,0.5556,0.167,0.3621,0.5888,0.0647,0.2309,0.1145,0.0627,0.2981,0.4307,0.2887,1.3503,0.6153,0.1228,0.2708,BCC+FCC
1,-6.1907,12.6137,3.5756,7.5417,1.8542,4.5383,13.7458,184.2708,154.4667,84.7312,0.0334,4.8997,4.546,131.5538,12.4036,0.2379,0.1346,0.1734,0.1836,0.0781,0.2694,0.1457,0.0772,0.1978,0.1979,0.4137,0.9039,0.2332,0.1476,0.2035,BCC
2,-9.3856,14.7843,3.0932,7.8254,1.7692,4.6661,11.7461,141.2306,182.569,82.2076,0.0666,6.79,4.774,78.0591,29.3917,0.3228,0.2958,0.3177,0.3072,0.1032,0.3937,0.2501,0.0627,0.2005,0.2783,0.5218,0.6133,0.4316,0.1822,0.3296,IM
1,-6.4129,11.5965,3.3495,8.4353,1.9574,4.866,12.2064,138.1915,184.3511,71.9128,0.0404,2.1121,1.6089,62.2906,18.0933,0.1865,0.1755,0.1392,0.1127,0.0555,0.1031,0.1204,0.0662,0.0451,0.1281,0.1805,0.5354,0.2952,0.1342,0.2807,FCC
1,-8.3147,10.559,2.0157,7.3151,2.11,4.4238,17.199,258.05,143.249,74.654,0.0272,6.2635,4.919,188.721,9.9999,0.2497,0.1174,0.1656,0.2315,0.0875,0.1483,0.1823,0.0814,0.2474,0.195,0.2893,0.7679,0.2157,0.1189,0.1731,IM
1,-6.7867,13.1453,3.6924,7.9733,1.7778,4.7333,10.9444,139.6667,175.2111,76.5667,0.0416,1.3669,2.6963,55.2593,22,0.2191,0.1589,0.1029,0.1178,0.0606,0.2339,0.0769,0.0666,0.0639,0.1488,0.2739,0.489,0.3467,0.219,0.4005,IM
2,-17.7686,14.4072,1.5886,7.9562,1.75,4.7412,11.2125,127,172.8375,63.45,0.0718,7.4213,2.4844,68.75,27.15,0.2854,0.2927,0.1689,0.1795,0.0798,0.2474,0.221,0.0726,0.1185,0.1724,0.2521,0.6101,0.4624,0.2013,0.4825,BCC+FCC
2,-10.4214,14.0981,2.3834,7.1088,2,4.5931,13.5012,123.3337,162.8613,73.5921,0.0547,7.3894,4.7119,70.8814,28.0404,0.3527,0.2322,0.3245,0.3584,0.0918,0.339,0.2194,0.0619,0.2258,0.3095,0.4602,0.6626,0.4488,0.1621,0.2955,IM
1,-1.5207,8.9256,13.011,6.2737,1.875,4.2725,8.1,124.375,148.375,41.6875,0.0388,8.5156,0.775,27.1875,10.2656,0.0912,0.2433,0.0975,0.1656,0.0622,0.1764,0.1435,0.0198,0.1441,0.1594,0.1417,0.2567,0.2893,0.0657,0.2141,IM
