Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Pm,Phase
0,15.3846,38.4615,0,15.3846,30.7692,0,0,0,0,0,0,0,0,0,1,BCC
0,22.22222222,22.22222222,0,0,0,22.22222222,11.11111111,0,22.22222222,0,0,0,0,0,3,IM
5.0505,0,5.0505,0,5.0505,0,5.0505,0,0,0,0,79.798,0,0,0,1,BCC
8.771929825,17.54385965,17.54385965,17.54385965,17.54385965,17.54385965,0,3.50877193,0,0,0,0,0,0,0,3,FCC
18.1818182,0,0,0,0,0,0,18.1818182,0,18.1818182,0,18.1818182,0,0,27.2727273,3,IM
0,0,25,0,0,0,0,25,25,25,0,0,0,0,0,3,BCC
0,21.7391,21.7391,0,21.7391,21.7391,13.0435,0,0,0,0,0,0,0,0,1,IM
0,0,0,0,0,0,23.52941176,5.882352941,23.52941176,23.52941176,23.52941176,0,0,0,0,3,BCC
0,0,27.7777778,0,27.7777778,0,0,0,8.3333333,0,8.3333333,27.7777778,0,0,0,3,IM
7.692307692,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,0,0,0,0,0,15.38461538,0,0,0,3,IM
0,20,0,0,20,20,20,0,0,0,0,20,0,0,0,3,IM
0,44.44444444,11.11111111,0,0,44.44444444,0,0,0,0,0,0,0,0,0,4,FCC
0,22.2222,22.2222,11.1111,22.2222,22.2222,0,0,0,0,0,0,0,0,0,1,FCC
15.3846,15.3846,15.3846,0,38.4615,15.3846,0,0,0,0,0,0,0,0,0,1,BCC
0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,1,FCC
0,16.6667,16.6667,16.6667,16.6667,16.6667,0,16.6667,0,0,0,0,0,0,0,1,IM
0,0,0,0,0,0,27.26281352,18.18429662,0,18.18429662,0,18.18429662,0,0,18.18429662,2,BCC
0,15.3846,15.3846,0,15.3846,30.7692,0,15.3846,0,0,0,7.6923,0,0,0,1,IM
0,0,0,0,0,0,18.1818182,18.1818182,0,18.1818182,0,0,0,27.2727273,18.1818182,3,BCC
8,17,17,8,17,33,0,0,0,0,0,0,0,0,0,3,FCC
0,20,20,0,0,20,0,0,20,20,0,0,0,0,0,1,BCC+FCC
0,0,23.8095238,4.7619048,23.8095238,0,0,0,0,0,0,23.8095238,23.8095238,0,0,3,BCC+FCC
78.9474,5.2632,5.2632,0,5.2632,5.2632,0,0,0,0,0,0,0,0,0,1,BCC+FCC
10,20,20,0,20,20,10,0,0,0,0,0,0,0,0,3,IM
0,24.3902,24.3902,0,24.3902,24.3902,0,0,0,2.439,0,0,0,0,0,1,IM
0,20,20,0,20,20,0,10,0,10,0,0,0,0,0,1,IM
0,0,0,0,0,0,0,35,0,5,5,0,0,27.5,27.5,3,BCC
0,0,20,0,20,0,20,20,20,0,0,0,0,0,0,1,BCC
9.0909,18.1818,18.1818,0,18.1818,18.1818,0,0,0,0,0,0,18.1818,0,0,1,FCC
0,25,25,12.5,25,12.5,0,0,0,0,0,0,0,0,0,1,FCC
3,31.3333333,31.3333333,0,0,31.3333333,0,3,0,0,0,0,0,0,0,3,IM
0,11.1111,11.1111,0,11.1111,11.1111,0,0,0,55.5556,0,0,0,0,0,1,IM
15.3846,15.3846,15.3846,15.3846,15.3846,23.0769,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,0,22.22222222,0,22.22222222,22.22222222,0,0,22.22222222,0,0,11.11111111,0,0,0,3,IM
20,0,20,0,20,20,20,0,0,0,0,0,0,0,0,3,IM
20.83333333,0,20.83333333,0,20.83333333,20.83333333,16.66666667,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,0,25.00937383,0,37.49531309,25.00937383,0,0,0,12.48593926,3,IM
4.7619,19.0476,19.0476,0,19.0476,19.0476,0,0,0,0,0,19.0476,0,0,0,1,BCC+FCC
0,19.0476,19.0476,0,19.0476,19.0476,0,9.5238,0,14.2857,0,0,0,0,0,1,IM
12.5,0,12.5,0,18.75,0,12.5,12.5,12.5,18.75,0,0,0,0,0,1,IM
0,20,0,20,0,20,0,0,0,10,0,30,0,0,0,1,IM
0,22.2222,11.1111,0,22.2222,22.2222,0,11.1111,0,11.1111,0,0,0,0,0,1,BCC+FCC
0,10.0069979,15.01049685,0,34.98950315,24.98250525,0,0,0,0,0,10.0069979,5.00349895,0,0,4,FCC
0,0,0,0,0,0,21.05263158,15.78947368,21.05263158,21.05263158,21.05263158,0,0,0,0,3,BCC
0,20,20,0,20,20,0,0,0,0,0,0,20,0,0,1,FCC
0,25,0,25,25,25,0,0,0,0,0,0,0,0,0,3,FCC
0,22.2222,22.2222,0,22.2222,22.2222,0,11.1111,0,0,0,0,0,0,0,1,IM
0,0,35,5,20,20,0,0,0,0,0,0,20,0,0,3,BCC+FCC
0,0,0,0,0,0,20,0,20,20,20,20,0,0,0,3,BCC
9.8039,19.6078,19.6078,0,19.6078,19.6078,0,0,0,11.7647,0,0,0,0,0,1,IM
38.4615,15.3846,15.3846,0,15.3846,15.3846,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,0,25,15,20,20,0,0,0,0,0,0,20,0,0,3,BCC+FCC
0,25,0,0,25,25,0,25,0,0,0,0,0,0,0,1,FCC
0,14.8148,14.8148,0,14.8148,29.6296,0,18.5185,0,0,0,7.4074,0,0,0,1,IM
0,0,0,0,0,0,0,16.6666667,0,16.6666667,0,50,0,0,16.6666667,3,IM
0,10,25,0,20,40,0,0,0,0,0,0,5,0,0,3,FCC
3,0,0,0,0,0,0,24.25,0,24.25,0,0,0,24.25,24.25,3,BCC
0,0,0,0,0,0,15,21.25,0,21.25,21.25,0,0,0,21.25,3,IM
0,22.72727273,0,0,22.72727273,22.72727273,9.090909091,0,0,0,0,22.72727273,0,0,0,3,IM
0,0,29.7619048,1.7857143,29.7619048,0,0,0,0,0,0,29.7619048,8.9285714,0,0,3,BCC+FCC
14.2857,0,14.2857,0,14.2857,28.5714,0,0,14.2857,14.2857,0,0,0,0,0,1,IM
19.3548,16.129,16.129,16.129,16.129,16.129,0,0,0,0,0,0,0,0,0,1,BCC+FCC
71.4285714,9.5238095,9.5238095,0,0,9.5238095,0,0,0,0,0,0,0,0,0,3,IM
0,18.18181818,18.18181818,0,18.18181818,38.19709702,0,0,0,7.257448434,0,0,0,0,0,2,IM
4.761904762,19.04761905,19.04761905,9.523809524,19.04761905,19.04761905,0,9.523809524,0,0,0,0,0,0,0,3,FCC
0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,3,BCC
0,12.5,12.5,0,50,0,0,0,0,0,0,0,25,0,0,3,IM
25,0,0,0,0,0,12.5,25,0,0,12.5,0,0,0,25,3,IM
20,20,0,0,0,0,0,20,0,20,0,0,0,0,20,1,IM
4.7619,19.0476,19.0476,0,19.0476,19.0476,0,0,0,0,0,0,19.0476,0,0,1,FCC
30.29385035,0,23.23538322,0,23.23538322,23.23538322,0,0,0,0,0,0,0,0,0,3,IM
0,24.99375156,16.67083229,0,16.67083229,24.99375156,0,16.67083229,0,0,0,0,0,0,0,2,IM
9.0909,18.1818,18.1818,0,18.1818,18.1818,0,18.1818,0,0,0,0,0,0,0,1,IM
0,20,20,15,20,20,5,0,0,0,0,0,0,0,0,1,IM
30.76923077,15.38461538,15.38461538,0,15.38461538,15.38461538,7.692307692,0,0,0,0,0,0,0,0,3,IM
21.2766,0,21.2766,0,21.2766,21.2766,0,10.6383,4.2553,0,0,0,0,0,0,1,BCC
0,0,0,0,0,0,0,33.33333333,0,0,33.33333333,0,0,0,33.33333333,3,IM
3.6363636,27.2727273,18.1818182,0,18.1818182,27.2727273,0,5.4545455,0,0,0,0,0,0,0,3,IM
0,0,25,0,25,0,0,0,0,0,0,25,25,0,0,3,BCC
17.2413793,17.2413793,17.2413793,0,17.2413793,17.2413793,0,0,0,0,0,13.7931034,0,0,0,3,BCC
14.2857,14.2857,14.2857,0,14.2857,0,14.2857,14.2857,0,0,0,14.2857,0,0,0,1,BCC+FCC
23.0769,15.3846,15.3846,0,15.3846,15.3846,0,15.3846,0,0,0,0,0,0,0,1,IM
0,18.0327869,18.0327869,18.0327869,18.0327869,18.0327869,0,0,0,9.8360656,0,0,0,0,0,3,IM
25,25,25,0,0,25,0,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,14.27958834,14.27958834,0,14.27958834,0,42.88164666,0,0,14.27958834,3,BCC
0,19.2308,38.4615,0,19.2308,19.2308,3.8462,0,0,0,0,0,0,0,0,1,IM
5.6497,5.6497,0,0,5.6497,5.6497,0,0,0,0,0,0,77.4011,0,0,1,BCC+FCC
20.0040008,16.66333267,16.66333267,0,16.66333267,16.66333267,0,13.34266853,0,0,0,0,0,0,0,3,IM
18.18429662,18.18429662,0,18.18429662,18.18429662,27.26281352,0,0,0,0,0,0,0,0,0,3,IM
0,19.2308,19.2308,0,19.2308,19.2308,23.0769,0,0,0,0,0,0,0,0,1,IM
0,16.6667,16.6667,0,16.6667,16.6667,0,16.6667,0,16.6667,0,0,0,0,0,1,BCC+FCC
8.4746,8.4746,0,0,8.4746,8.4746,0,0,0,0,0,0,66.1017,0,0,1,BCC+FCC
0,0,30.3030303,0,30.3030303,30.3030303,0,9.090909091,0,0,0,0,0,0,0,3,BCC+FCC
20,10,20,0,20,20,10,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,0,37.50937734,0,12.49062266,12.49062266,0,0,12.49062266,25.01875469,3,BCC
0,0,0,0,0,0,22.2222222,22.2222222,0,22.2222222,0,0,0,22.2222222,11.1111111,3,BCC
18.01763965,0,19.99160017,0,19.99160017,41.99916002,0,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,27.2727273,18.1818182,0,18.1818182,0,0,0,18.1818182,18.1818182,3,BCC
6.25,25,0,18.75,25,25,0,0,0,0,0,0,0,0,0,1,FCC
0,26.455,26.455,0,13.2275,13.2275,2.6455,0,0,17.9894,0,0,0,0,0,1,IM
16.3934426,16.3934426,16.3934426,0,16.3934426,34.4262295,0,0,0,0,0,0,0,0,0,3,BCC+FCC
22.2222,0,22.2222,0,22.2222,22.2222,0,0,0,0,0,0,11.1111,0,0,1,BCC+FCC
19.0476,19.0476,19.0476,0,19.0476,19.0476,0,0,0,4.7619,0,0,0,0,0,1,IM
0,0,0,0,0,0,18.1818182,18.1818182,0,27.2727273,0,0,0,18.1818182,18.1818182,3,BCC
17.98975672,30.02560819,9.987195903,0,9.987195903,32.01024328,0,0,0,0,0,0,0,0,0,3,BCC+FCC
0,0,0,0,0,0,0,30,0,30,10,0,0,0,30,3,BCC
21.7391304,0,21.7391304,21.7391304,21.7391304,13.0434783,0,0,0,0,0,0,0,0,0,3,IM
16.67083229,16.67083229,16.67083229,0,24.99375156,16.67083229,8.32291927,0,0,0,0,0,0,0,0,3,IM
0,8.681462141,0,8.681462141,8.681462141,8.681462141,0,0,0,65.27415144,0,0,0,0,0,4,IM
16.6667,0,16.6667,0,33.3333,33.3333,0,0,0,0,0,0,0,0,0,1,BCC+FCC
8.7108,0,8.7108,0,8.7108,0,8.7108,0,0,0,0,65.1568,0,0,0,1,BCC
0,17.99669785,12.49312053,0,55.03577325,6.989543203,7.484865162,0,0,0,0,0,0,0,0,4,IM
0,0,22.2222,11.1111,22.2222,22.2222,0,0,0,0,0,0,22.2222,0,0,1,FCC
15,0,0,0,30,20,0,0,0,0,0,0,35,0,0,3,IM
0,0,0,0,0,0,25,0,0,25,25,25,0,0,0,3,BCC
0,0,0,0,0,0,22.22222222,22.22222222,0,22.22222222,0,11.11111111,0,0,22.22222222,3,BCC
0,16.6667,16.6667,0,16.6667,16.6667,0,16.6667,0,0,0,16.6667,0,0,0,1,IM
0,33.3333333,0,0,0,33.3333333,0,0,0,0,0,0,33.3333333,0,0,3,FCC
6.850665352,13.7013307,13.7013307,13.7013307,13.7013307,13.7013307,0,0,0,0,0,24.64268112,0,0,0,3,BCC
0,0,0,0,0,0,0,38.0952381,0,14.28571429,0,19.04761905,0,9.523809524,19.04761905,3,BCC
0,19.00057002,19.00057002,0,19.00057002,19.00057002,0,0,0,0,0,4.997149914,19.00057002,0,0,2,IM
0,15.3846,15.3846,0,15.3846,30.7692,0,0,0,0,0,7.6923,15.3846,0,0,1,FCC
20,0,0,0,0,0,0,30,0,30,10,0,0,0,10,3,BCC
10,0,0,0,0,0,0,30,0,20,16,4,0,0,20,3,IM
0,20.83333333,0,0,20.83333333,20.83333333,16.66666667,0,0,0,0,20.83333333,0,0,0,3,IM
0,20,20,0,20,20,20,0,0,0,0,0,0,0,0,1,IM
20,0,0,0,0,0,0,20,0,20,0,0,0,20,20,3,IM
0,21.0526,21.0526,0,21.0526,21.0526,0,10.5263,0,5.2632,0,0,0,0,0,1,IM
5.6604,18.8679,18.8679,0,37.7358,18.8679,0,0,0,0,0,0,0,0,0,1,FCC
