Pm,ΔS,ad-e/n,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,Phase
1,14.2517,0.0607,55.9615,27.1583,0.0823,0.074,0.5856,0.4488,IM
3,10.3298,0.0433,32.5556,11.6667,0.069,0.0225,0.2958,0.3287,IM
3,11.7645,0.0381,70.44,14.1775,0.0644,0.0717,0.7966,0.2383,FCC
3,12.3001,0.0393,47.3093,6.6942,0.0904,0.0427,0.438,0.2831,BCC
3,13.3112,0.0319,47.6531,29.4382,0.1605,0.0386,0.4811,0.6936,IM
3,13.0106,0.0593,55.4339,21.8636,0.0782,0.0709,0.4242,0.3604,IM
3,11.3875,0.0342,60.9056,20.2459,0.058,0.0305,0.693,0.3131,BCC+FCC
1,14.5318,0.085,68.1631,29.4326,0.1336,0.0735,0.8077,0.4729,IM
1,14.8759,0.048,64.8593,27.3267,0.0679,0.0655,0.7794,0.4598,BCC+FCC
3,7.5837,0.0346,49.3878,21.073,0.0664,0.0697,1.4226,0.6404,IM
2,12.37,0.0477,59.076,18.8988,0.0599,0.0669,0.5769,0.3178,IM
3,15.433,0.0496,64.0181,27.5156,0.0716,0.0646,0.6379,0.4438,FCC
3,11.5257,0.0476,76.125,38.8625,0.1933,0.027,0.5744,0.5803,BCC
3,10.0849,0.0201,131.0938,10.6094,0.0732,0.0592,0.6349,0.2339,IM
3,12.9664,0.0517,60,27.1375,0.1541,0.0382,0.7207,0.8154,IM
1,13.3809,0.0708,71.92,8.024,0.1105,0.0728,0.7439,0.2847,IM
1,14.3353,0.035,132.7708,18.5542,0.0791,0.0817,0.7905,0.3288,FCC
3,11.4661,0.0464,41.4408,26.973,0.0708,0.0709,0.6594,0.4336,IM
2,13.2116,0.0533,68.5758,28.2431,0.0774,0.0683,0.5975,0.4622,IM
1,14.6972,0.0564,63.8346,30.6182,0.0811,0.0702,0.6645,0.5098,IM
1,14.3159,0.0449,66.66,23.69,0.0626,0.0564,0.5796,0.3669,IM
3,14.2323,0.0542,76.1893,32.0639,0.0918,0.0703,0.8085,0.5151,IM
1,14.0489,0.0561,46.4463,30.3468,0.1038,0.0683,0.7433,0.4953,BCC
3,9.1339,0.0434,31.1111,21.1778,0.0625,0.028,0.3563,0.603,IM
3,13.3671,0.0406,70.562,25.4278,0.0645,0.0656,0.5949,0.4061,IM
3,11.5257,0.0301,139.875,17.025,0.0612,0.0381,0.7406,0.2829,BCC
3,14.8707,0.0494,63.698,26.9441,0.07,0.0723,0.6463,0.4424,BCC
1,16.1783,0.0508,67.8367,34.7102,0.1131,0.0516,0.5994,0.5725,BCC+FCC
1,14.7842,0.0549,63.3608,30.9917,0.081,0.0718,0.7927,0.5564,IM
3,14.7374,0.0561,60.5843,24.7357,0.0619,0.0612,0.6074,0.3889,IM
3,11.5257,0.0524,73.625,32.025,0.0746,0.0751,0.8435,0.5105,IM
3,12.2615,0.0425,36.9653,20.7463,0.1412,0.0342,0.3764,0.6254,BCC
1,12.0051,0.0451,59.7634,22.929,0.0707,0.0595,0.5184,0.3139,IM
1,7.0475,0.0158,132.6751,8.7707,0.0754,0.074,0.3966,0.1909,BCC+FCC
3,14.841,0.0543,64.9953,30.8545,0.0796,0.0717,0.756,0.5308,IM
3,13.2542,0.0404,71.7746,21.596,0.0594,0.0692,0.8023,0.3809,IM
1,13.3571,0.0689,67.7516,24.9704,0.0877,0.0566,0.462,0.3283,IM
1,14.8967,0.0741,56.778,29.0667,0.0823,0.0705,0.5834,0.4926,BCC+FCC
1,9.231,0.0221,169.96,12.4119,0.0854,0.0843,0.5036,0.235,BCC+FCC
3,10.8363,0.0469,31.5886,16.8338,0.07,0.0668,0.3684,0.2851,BCC+FCC
3,14.5334,0.0558,66.76,27.094,0.0915,0.0677,0.6949,0.4249,IM
3,12.4206,0.0434,40.16,12.0071,0.0765,0.0375,0.4213,0.5081,BCC
3,13.1452,0.0352,59.8519,32.5383,0.1943,0.0579,0.4757,0.7875,BCC
3,10.948,0.0473,33.6003,18.0854,0.0697,0.0767,0.5517,0.335,IM
3,13.2539,0.0327,55.9339,37.8347,0.2064,0.0594,0.4409,0.7921,BCC
1,12.6945,0.0276,74.1875,20.3813,0.0386,0.0604,0.6552,0.3353,FCC
1,13.6631,0.0686,67.4868,29.1087,0.0769,0.0659,0.5386,0.433,IM
3,12.9105,0.0436,62.8487,24.5138,0.0668,0.0731,0.7232,0.3962,BCC+FCC
1,13.1452,0.0415,93.3332,21.3334,0.0761,0.0761,1.1031,0.3739,BCC+FCC
1,14.3353,0.0517,67.4648,28.1959,0.0699,0.0714,0.7091,0.4522,IM
3,13.2539,0.0311,55.7025,27.9537,0.186,0.0546,0.4619,0.7918,BCC
3,12.4265,0.0422,83.1082,26.3,0.0655,0.0711,0.7438,0.4415,BCC+FCC
3,10.9232,0.0323,32.4,12.792,0.0737,0.0282,0.3775,0.4736,BCC
3,13.2416,0.0522,39.3195,27.6881,0.0696,0.0561,0.6277,0.4411,IM
3,14.5338,0.0526,70.5019,26.9577,0.0839,0.0659,0.64,0.4263,IM
4,9.371,0.1008,36.2228,11.6715,0.0793,0.0655,0.547,0.3182,IM
1,11.0548,0.0409,40.8333,16.55,0.065,0.0729,0.5431,0.3187,BCC+FCC
1,9.3907,0.0209,28.4385,22.8196,0.0913,0.0244,0.3544,0.4477,BCC
4,10.6184,0.0345,43.3984,14.7984,0.0601,0.0504,0.3523,0.2938,IM
1,13.1452,0.0379,140.2467,13.274,0.0811,0.0779,0.932,0.2259,FCC
3,11.0999,0.0311,185.325,13.071,0.088,0.0857,0.8479,0.253,IM
3,11.5257,0.0425,47.75,26.375,0.1493,0.0318,0.4183,0.4523,BCC
3,13.1452,0.032,54.4198,32,0.175,0.0426,0.48,0.7702,BCC
1,14.8967,0.0582,54.8334,27.6001,0.0795,0.0705,0.5234,0.4677,IM
3,9.1339,0.029,151.5556,17.8667,0.0916,0.0976,0.6533,0.2838,FCC
3,15.7177,0.057,55.9761,23.4288,0.0701,0.067,0.5708,0.4063,BCC
3,12.4817,0.0471,42.6757,10.2349,0.0803,0.0351,0.4139,0.3707,BCC
2,14.362,0.0359,128.0091,17.1311,0.0785,0.0815,0.7442,0.3056,IM
1,14.2323,0.0394,118.698,15.8036,0.078,0.0841,0.8102,0.2855,FCC
3,12.5108,0.0473,28,11.256,0.0524,0.0185,0.5336,0.4135,BCC
3,13.7779,0.048,33.568,14.4624,0.0659,0.0242,0.471,0.4887,IM
3,13.3507,0.0696,58.1771,23.8264,0.0874,0.0684,0.4091,0.3829,IM
1,13.3809,0.0654,67.12,24.352,0.0854,0.0573,0.471,0.331,IM
3,13.3809,0.0546,52.72,5.64,0.0908,0.0404,0.6092,0.256,IM
1,14.1676,0.0561,61.8946,26.7368,0.0733,0.0674,0.5601,0.4255,IM
1,12.2573,0.0299,56.4898,19.3856,0.0538,0.063,0.5172,0.3328,FCC
1,12.4506,0.0463,30.4526,18.6173,0.0605,0.0667,0.4889,0.3165,BCC+FCC
1,9.749,0.0237,176.8796,13.3354,0.0872,0.0863,0.5318,0.246,BCC+FCC
1,8.7655,0.0207,162.959,11.603,0.0836,0.0824,0.4794,0.2253,BCC+FCC
3,13.9933,0.0385,66.0491,24.2599,0.0588,0.0634,0.6119,0.3821,FCC
1,13.9362,0.0507,57.3473,23.1555,0.0716,0.0714,0.562,0.3767,IM
1,5.1951,0.0108,95.7228,5.9737,0.0643,0.0627,0.3135,0.1539,BCC
3,13.3809,0.0604,42.56,29.568,0.1171,0.027,0.3868,0.4037,IM
3,14.5334,0.0512,40.6,37.176,0.1381,0.0397,0.4614,0.6938,IM
1,13.8692,0.0506,64.2653,30.2714,0.0771,0.0725,0.9003,0.5617,IM
3,12.5685,0.0353,64.6939,22.2585,0.0577,0.064,0.5653,0.3596,IM
3,11.7412,0.048,44.2659,9.7108,0.082,0.0365,0.4162,0.3862,BCC
3,13.3809,0.037,134.32,22.792,0.0773,0.0637,0.7716,0.3679,BCC+FCC
1,8.2671,0.0337,50.8166,21.1634,0.0647,0.0627,1.3503,0.6153,BCC+FCC
4,11.3163,0.03,68.1805,23.2662,0.0485,0.0585,0.5019,0.3672,FCC
3,14.865,0.0404,130.7008,25.4003,0.0799,0.0809,0.9391,0.4195,BCC
3,9.1339,0.0428,45.7778,6.5778,0.0876,0.0469,0.4719,0.2367,BCC
1,14.8967,0.0624,77.1668,29.3,0.0977,0.065,0.6434,0.4415,IM
1,14.8707,0.0457,65.2439,26.6695,0.0641,0.0635,0.7292,0.4349,BCC+FCC
3,11.2387,0.0515,31.0204,18,0.0752,0.0674,0.3771,0.3389,BCC
3,11.7487,0.0495,31.4187,25.3834,0.106,0.0232,0.3704,0.3583,BCC
1,14.0626,0.0751,71.2889,27.6764,0.0821,0.0735,0.636,0.4806,BCC+FCC
2,13.3448,0.0457,69.8231,28.8435,0.0695,0.0717,0.7512,0.4648,BCC
3,11.8082,0.0324,173.8785,14.416,0.0871,0.0806,0.8503,0.2727,IM
3,13.3809,0.0452,54.4,43.728,0.1656,0.0433,0.5063,0.7032,IM
3,13.1452,0.0424,41.037,10.163,0.0569,0.019,0.5934,0.3229,IM
2,14.8967,0.0636,32.2222,29.9,0.0832,0.0628,0.5791,0.5157,IM
3,13.3321,0.0351,51.9889,30.3557,0.1705,0.0414,0.4657,0.7511,BCC
1,12.6758,0.0539,49.2976,25.5271,0.0769,0.0679,0.5759,0.4041,BCC+FCC
3,11.3575,0.0533,30.7099,19.3796,0.0773,0.0676,0.3808,0.3617,BCC
3,12.9664,0.0502,42.5312,8.0375,0.093,0.043,0.3689,0.3448,BCC
3,16.1783,0.0512,123.8776,27.5673,0.0846,0.0601,0.9825,0.5186,IM
