Pm,e/a,EWF,ad-e/n,δ-e/n,δ-ρ,δ-Ec,δ-G,δ-υ,Phase
3,1.7143,4.3643,0.0339,0.1524,0.102,0.2038,0.2958,0.2022,BCC+FCC
1,2.7368,4.3869,0.027,0.1526,0.5877,0.1052,0.6004,0.1054,BCC+FCC
3,1.8,4.718,0.0549,0.2248,0.2457,0.1881,0.3997,0.206,IM
1,1.7317,4.7756,0.037,0.1596,0.0861,0.1187,0.3379,0.2293,IM
1,1.7,4.693,0.0632,0.2661,0.1648,0.2098,0.4344,0.227,IM
3,1.95,4.1292,0.0467,0.4485,0.4871,0.1568,0.4038,0.0471,BCC
1,1.6,4.496,0.069,0.4129,0.5203,0.3161,0.4527,0.2113,BCC
1,1.9091,4.6164,0.037,0.1406,0.2219,0.1434,0.3564,0.2213,FCC
1,1.625,4.725,0.036,0.1382,0.0874,0.0689,0.376,0.2303,FCC
3,1.7167,4.8486,0.0478,0.1682,0.1714,0.0546,0.4206,0.2552,IM
1,1.3333,4.5167,0.0938,0.4751,0.0607,0.2658,0.4468,0.181,IM
1,1.8462,4.7161,0.0466,0.1702,0.2861,0.1038,0.4274,0.1823,BCC+FCC
3,1.7778,4.6333,0.0794,0.4023,0.4772,0.3494,0.3352,0.1544,IM
3,1.8,4.606,0.0598,0.2817,0.3462,0.2526,0.3833,0.1454,IM
3,1.8333,4.6062,0.0583,0.2671,0.3497,0.2425,0.3877,0.1485,IM
3,1.625,4.2638,0.0314,0.3381,0.486,0.1862,0.4455,0.0728,IM
1,1.8571,4.6705,0.0486,0.1807,0.1977,0.1063,0.383,0.2045,BCC+FCC
1,1.6667,4.6743,0.0688,0.294,0.1613,0.2362,0.4418,0.2239,IM
1,1.6875,4.4325,0.0682,0.4013,0.5428,0.3287,0.5854,0.1932,IM
1,1.7,4.68,0.0782,0.2927,0.1563,0.232,0.2894,0.0953,IM
1,1.7778,4.7144,0.0658,0.2747,0.1694,0.2138,0.4314,0.1984,BCC+FCC
4,1.8499,4.6724,0.0357,0.1478,0.1087,0.105,0.2609,0.1795,FCC
3,1.5789,4.41,0.0347,0.3429,0.4321,0.1758,0.5776,0.141,BCC
