Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
1,2.3834,2,4.5931,73.5921,0.0547,28.0404,0.2322,0.3584,IM
3,1.4246,2.25,4.7325,58.575,0.0382,23.775,0.1545,0.3618,BCC
3,1.8619,2,4.6217,66.45,0.05,26.6167,0.1869,0.3062,BCC
1,3.1911,1.6977,4.7535,77.193,0.0473,22.1493,0.2069,0.0844,IM
1,1.8746,2,4.6033,58.2599,0.0573,27.8453,0.2144,0.3936,BCC
3,2.5595,1.25,4.6,79.925,0.0796,39.175,0.4018,0.1238,IM
4,2.8029,1.875,4.2363,33.2875,0.0448,12.8594,0.3674,0.5493,IM
3,30.4739,2,4.1519,28.9938,0.0475,10.1414,0.4359,0.5369,BCC
3,14.2086,1.8571,4.2686,40.5143,0.0406,10.8939,0.2573,0.1762,IM
1,2.256,1.5625,4.4013,64.4625,0.0636,33.7078,0.3578,0.3173,IM
3,4.1319,1.8,4.6053,64.1733,0.0576,23.1147,0.2125,0.2285,BCC
3,8.7172,1.6667,4.3883,77.35,0.0451,42,0.3876,0.4952,BCC
3,2.6972,1.8182,4.6873,67.1818,0.0515,28.238,0.1989,0.2632,BCC+FCC
4,2.5507,1.5556,4.8444,92.3556,0.0505,19.684,0.1673,0.1042,FCC
3,4.1496,1.8371,4.4671,84.9121,0.0296,13.7671,0.1236,0.1866,BCC+FCC
3,128.9972,1.6,4.565,87.62,0.0399,16.128,0.1525,0.0895,BCC+FCC
4,15.7818,2,4.8833,68.3667,0.0167,18.6444,0.0606,0.055,FCC
3,18.1708,1.697,4.2333,29.9909,0.0377,10.3526,0.286,0.2453,BCC
3,2.0655,1.9583,4.5154,79.2833,0.0375,17.2292,0.1531,0.2876,IM
3,6.1294,1.8,4.6455,78.236,0.0319,17.499,0.1217,0.0869,FCC
1,2.3135,1.8,4.362,53.44,0.0372,28.104,0.2333,0.4222,BCC
3,9.6388,1.4792,4.3479,59.275,0.0261,40.2656,0.2368,0.2843,BCC
3,3.6073,1.4,4.446,76.82,0.0624,35.696,0.3432,0.2451,IM
