Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Phase,Preparation method,Reference
20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,BCC+FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
0,25,25,0,25,25,0,0,0,0,0,0,0,0,0,FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
0,25,25,0,25,25,0,0,0,0,0,0,0,0,0,FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
10,20,20,0,20,20,10,0,0,0,0,0,0,0,0,FCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
24.99375156,16.67083229,16.67083229,0,16.67083229,16.67083229,8.32291927,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
30.76923077,15.38461538,15.38461538,0,15.38461538,15.38461538,7.692307692,0,0,0,0,0,0,0,0,BCC1+BCC2,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
18.18181818,18.18181818,18.18181818,0,18.18181818,18.18181818,9.090909091,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
0,22.22222222,22.22222222,0,22.22222222,22.22222222,11.11111111,0,0,0,0,0,0,0,0,FCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
9.090909091,18.18181818,18.18181818,0,18.18181818,18.18181818,0,18.18181818,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
23.06805075,15.38638985,15.38638985,0,15.38638985,15.38638985,0,15.38638985,0,0,0,0,0,0,0,BCC1+BCC2,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
28.57142857,14.28571429,14.28571429,0,14.28571429,14.28571429,0,14.28571429,0,0,0,0,0,0,0,BCC1+BCC2,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
16.66666667,16.66666667,16.66666667,0,16.66666667,16.66666667,0,16.66666667,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
0,20,20,0,20,20,0,20,0,0,0,0,0,0,0,FCC,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
3.217223029,24.18964683,16.13449444,0,16.13449444,24.18964683,0,16.13449444,0,0,0,0,0,0,0,FCC+IM,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
